k,selection_score,n_points,n_clusters,explained_fraction,normalized_entropy,is_selected
1,,1024,1,0.0,,False
2,0.7235139338339464,1024,2,0.45477131981914143,0.9922565478487513,False
3,0.7727739819105625,1024,3,0.584124299499259,0.9614236643218659,False
4,0.8359715252965984,1024,4,0.6733756656843299,0.9985673849088668,False
5,0.8524907280456377,1024,5,0.7200512977391729,0.9849301583521026,False
6,0.8645287052831689,1024,6,0.7545341614889363,0.9745232490774017,False
7,0.8765069562676273,1024,7,0.7790233038922214,0.9739906086430331,False
8,0.8841331515598794,1024,8,0.7990865976285395,0.9691797054912193,False
9,0.8953520726032217,1024,9,0.80958714934302,0.9811169958634234,False
10,0.8989566061818685,1024,10,0.8244265824781141,0.9734866298856228,False
11,0.9009843378984885,1024,11,0.8298486755954909,0.9721200002014863,False
12,0.9101128166012484,1024,12,0.8437161736569518,0.9765094595455451,False
13,0.9148947004380289,1024,13,0.8572270918471548,0.972562309028903,False
14,0.9215430878810129,1024,14,0.8618414789641594,0.9812446967978664,False
15,0.9229899129251731,1024,15,0.8676152214268172,0.978364604423529,False
16,0.9241994454395803,1024,16,0.8717070722227441,0.9766918186564165,False
17,0.9263354643411641,1024,17,0.8769568814081655,0.9757140472741627,False
18,0.9290274922293824,1024,18,0.8801428921911403,0.9779120922676245,False
19,0.9293516323258482,1024,19,0.8859785617275331,0.9727247029241632,False
20,0.9305660436136957,1024,20,0.8885502650512189,0.9725818221761724,False
21,0.9319899923617412,1024,21,0.8903417754999023,0.9736382092235799,False
22,0.9382224797779591,1024,22,0.8958157018861159,0.9806292576698024,False
23,0.9382790199135684,1024,23,0.8978694882760007,0.9786885515511361,False
24,0.9383258365545477,1024,24,0.8988199685135241,0.9778317045955714,True
25,0.9331021437101605,1024,25,0.8990789640177713,0.9671253234025498,False
